timestamp,user,source_ip,event_type,host,status,country
2026-07-01 00:10:00,user50,10.0.4.18,privilege_change,WS-059,success,Internal
2026-07-01 00:13:00,user58,10.0.4.16,privilege_change,WS-081,success,Internal
2026-07-01 00:24:00,user31,203.0.113.99,privilege_change,WS-063,success,BR
2026-07-01 00:26:00,user45,10.0.3.23,malware_alert,WS-073,failure,Internal
2026-07-01 00:33:00,user33,10.0.3.20,privilege_change,WS-052,success,Internal
2026-07-01 00:53:00,user50,203.0.113.66,privilege_change,WS-043,success,RU
2026-07-01 00:59:00,user30,198.51.100.35,privilege_change,WS-058,success,NL
2026-07-01 01:14:00,user14,198.51.100.52,malware_alert,WS-115,failure,US
2026-07-01 02:06:00,user37,203.0.113.67,privilege_change,WS-037,success,RU
2026-07-01 02:11:00,user52,10.0.4.26,malware_alert,WS-032,failure,Internal
2026-07-01 02:18:00,user24,203.0.113.97,privilege_change,WS-066,success,NL
2026-07-01 03:43:00,user19,10.0.1.12,privilege_change,WS-030,success,Internal
2026-07-01 03:45:00,user47,10.0.4.18,privilege_change,WS-017,success,Internal
2026-07-01 03:58:00,user15,10.0.3.13,malware_alert,WS-101,failure,Internal
2026-07-01 04:08:00,user32,203.0.113.53,privilege_change,WS-031,success,US
2026-07-01 05:58:00,user18,10.0.3.22,privilege_change,WS-090,success,Internal
2026-07-01 06:29:00,user47,10.0.1.10,privilege_change,WS-004,success,Internal
2026-07-01 06:55:00,user46,203.0.113.34,privilege_change,WS-017,success,DE
2026-07-01 07:13:00,user28,10.0.1.21,malware_alert,WS-082,failure,Internal
2026-07-01 09:15:00,user26,203.0.113.92,privilege_change,WS-063,success,DE
2026-07-01 10:55:00,user44,10.0.3.24,privilege_change,WS-103,success,Internal
2026-07-01 11:19:00,user05,198.51.100.11,privilege_change,WS-032,success,DE
2026-07-01 11:35:00,user36,10.0.2.11,malware_alert,WS-070,failure,Internal
2026-07-01 11:49:00,user51,203.0.113.58,privilege_change,WS-071,success,US
2026-07-01 13:49:00,user37,10.0.3.16,privilege_change,WS-041,success,Internal
2026-07-01 13:57:00,user57,198.51.100.66,privilege_change,WS-065,success,DE
2026-07-01 14:07:00,user51,10.0.4.11,privilege_change,WS-059,success,Internal
2026-07-01 14:45:00,user15,198.51.100.46,privilege_change,WS-078,success,DE
2026-07-01 15:18:00,user27,203.0.113.30,privilege_change,WS-097,success,NL
2026-07-01 15:40:00,user16,10.0.2.11,malware_alert,WS-016,failure,Internal
